eom,ic_spearman,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2008-11-30,0.06906781160125669,0.0722648772036,0.044430145946,0.027834731257600005,0.026774731257600007,0.53,250,250,2505
2008-12-31,0.07222646858262723,-0.06612655087968126,-0.1210884852,0.054961934320318734,0.053754763005577695,0.603585657370518,251,251,2514
2009-01-31,-0.02605624331167463,-0.1362554418586777,-0.13409303125371902,-0.00216241060495867,-0.003497121348760323,0.6673553719008264,242,242,2429
2009-02-28,0.04139343270681736,0.11765382667130436,0.09843722606695651,0.01921660060434785,0.01801660060434785,0.6000000000000001,230,230,2307
2009-03-31,-0.09442238156930532,0.17076718037489363,0.2585012970659574,-0.08773411669106379,-0.08911709541446805,0.6914893617021276,235,235,2357
2009-04-30,-0.04713761182032955,0.05660708293346614,0.079620734025498,-0.023013651092031864,-0.024400105275298796,0.6932270916334662,251,251,2518
2009-05-31,0.15441356287550187,0.01970555867131783,-0.014318255441860463,0.03402381411317829,0.03286877535348837,0.5775193798449613,258,258,2585
2009-06-30,0.02906914499364251,0.09602549275192308,0.09208018581807692,0.003945306933846163,0.002783768472307701,0.5807692307692308,260,260,2600
2009-07-31,-0.0520995613467108,0.03243669710530303,0.07037725055227272,-0.037940553446969685,-0.03920949284090908,0.634469696969697,264,264,2643
2009-08-31,-0.06531842568379205,0.038181441408921934,0.06536269546951672,-0.02718125406059478,-0.028326235473234186,0.5724907063197026,269,269,2699
2009-09-30,0.1872516682244068,-0.02492604985202952,-0.08846998001328414,0.06354393016125462,0.06248857960774908,0.5276752767527675,271,271,2718
2009-10-31,0.016647485226286014,0.026879911673207548,0.022591732286792454,0.004288179386415094,0.0030202548581132072,0.6339622641509435,265,265,2659
2009-11-30,0.03572226137039842,0.06147172374264151,0.06582620129433962,-0.004354477551698113,-0.005528062457358491,0.5867924528301887,265,265,2656
2009-12-31,0.09320997394826176,-0.008136518295522387,-0.031004479705223884,0.022867961409701498,0.02171124499179105,0.5783582089552239,268,268,2689
2010-01-31,0.08832424998273816,0.047142959276296297,0.029674326159629626,0.01746863311666667,0.016164929412962967,0.6518518518518519,270,270,2700
2010-02-28,0.06658402150141367,0.07415203415904058,0.06393565281623617,0.010216381342804406,0.00909461012509223,0.5608856088560885,271,271,2714
2010-03-31,-0.011359478121725124,0.04429847464820144,0.06145557625359712,-0.01715710160539568,-0.01830098649748201,0.5719424460431655,278,278,2787
2010-04-30,0.10868520971264557,-0.054405713915492954,-0.09298720863239437,0.03858149471690142,0.03738783274507043,0.596830985915493,284,284,2841
2010-05-31,0.004740883207188387,-0.04920513419350181,-0.061598503008303246,0.012393368814801436,0.011292285782310462,0.5505415162454874,277,277,2778
2010-06-30,0.12083624724650903,0.07267774656691177,0.029815141312499998,0.04286260525441177,0.04177804643088236,0.5422794117647058,272,272,2725
2010-07-31,0.09936669773518857,-0.05957529680328467,-0.07603947592554745,0.016464179122262786,0.015194106129562056,0.635036496350365,274,274,2744
2010-08-31,0.13427136380605764,0.11947582828066916,0.09456578486208178,0.02491004341858738,0.023846846392565076,0.5315985130111525,269,269,2690
2010-09-30,0.001321227570738438,0.03531113333868613,0.05022028137335766,-0.014909148034671534,-0.016128126136861314,0.6094890510948905,274,274,2745
2010-10-31,-0.007690543303103384,0.018649173933212998,0.019017543406137184,-0.00036836947292418626,-0.0014802828303249083,0.555956678700361,277,277,2774
2010-11-30,-0.028800537536664308,0.07769125699064748,0.09130597321906474,-0.013614716228417256,-0.014679464429856105,0.5323741007194245,278,278,2780
2010-12-31,0.049186392368830566,0.012019099418505338,-0.013504336924555162,0.0255234363430605,0.02438820502633452,0.5676156583629893,281,281,2812
2011-01-31,0.03181597192357361,0.04188213116466431,0.0361235864795053,0.00575854468515901,0.004606601222261484,0.5759717314487633,283,283,2837
2011-02-28,0.017488873270767095,0.01292974189116608,0.02643307122579505,-0.013503329334628968,-0.014584601419434622,0.5406360424028269,283,283,2839
2011-03-31,0.031014971840705858,0.020054818440255515,0.019420012527046265,0.00063480591320925,-0.00033316561703986035,0.48398576512455516,281,281,2818
2011-04-30,0.03411703351323984,-0.018383637882332157,-0.026686838420141346,0.00830320053780919,0.007200727039575974,0.5512367491166077,283,283,2831
2011-05-31,0.08987128849405521,-0.014346722408540923,-0.03699482704946619,0.022648104640925266,0.021616076171174378,0.5160142348754448,281,281,2815
2011-06-30,-0.02162238322664904,-0.026445677796762587,-0.034230296993165474,0.007784619196402887,0.0067846191964028866,0.5,278,278,2787
2011-07-31,0.07706659739493818,-0.0739541240463768,-0.09266557833695652,0.018711454290579715,0.017562903565942034,0.5742753623188406,276,276,2769
2011-08-31,-0.015079850576792557,-0.0928883409111111,-0.1161819347768037,0.023293593865692602,0.022215816087914824,0.538888888888889,270,270,2705
2011-09-30,0.19454614006067453,0.1734658297904943,0.12397048558517108,0.04949534420532321,0.04842310085931561,0.5361216730038023,263,263,2633
2011-10-31,0.11221426201928818,0.007079390977037037,-0.02910847267111111,0.03618786364814815,0.03484712290740741,0.6703703703703704,270,270,2701
2011-11-30,0.08464999207823982,0.01143797079363296,-0.007107845104494382,0.018545815898127344,0.017489636122846444,0.5280898876404494,267,267,2677
2011-12-31,-0.007894936996043057,0.08913772357223596,0.1004515896835206,-0.01131386611128464,-0.012377536523269658,0.5318352059925093,267,267,2674
2012-01-31,0.02908606190078273,0.03976741758125,0.027531974772794114,0.012235442808455885,0.010959707514338238,0.6378676470588235,272,272,2729
2012-02-29,0.09068722190817863,0.033227336293430665,0.007260534654014597,0.025966801639416066,0.024875560763503658,0.5456204379562044,274,274,2743
2012-03-31,0.04005932981728745,-0.012049796385144928,-0.018709885192391303,0.006660088807246375,0.005594871415942028,0.532608695652174,276,276,2764
2012-04-30,0.12502644589190767,-0.060143587913718405,-0.0968316581303249,0.0366880702166065,0.03559059729241877,0.5487364620938628,277,277,2775
2012-05-31,0.0001052354198082596,0.04761774434202198,0.048990565723076925,-0.0013728213810549478,-0.002427766436000003,0.5274725274725275,273,273,2737
2012-06-30,0.12511197763265575,0.005082881148363634,-0.023522630210181816,0.02860551135854545,0.02749642044945454,0.5545454545454546,275,275,2751
2012-07-31,0.017440588624808632,0.037204714331021904,0.040905429431386864,-0.0037007151003649597,-0.004857649406934303,0.5784671532846716,274,274,2740
2012-08-31,-0.042056109845842356,0.030813746726642336,0.0473981017149635,-0.016584354988321167,-0.017726690754744524,0.5711678832116789,274,274,2746
2012-09-30,0.1227306748516383,0.004082908590974729,-0.03464921946967509,0.03873212806064982,0.037627434919855596,0.5523465703971119,277,277,2770
2012-10-31,0.07304642100302704,0.013249728201086955,-0.006146851983333332,0.019396580184420288,0.018208174387318837,0.5942028985507246,276,276,2768
2012-11-30,0.015607653914892237,0.03812928413054545,0.03074254355818181,0.007386740572363638,0.006204922390545457,0.5909090909090908,275,275,2755
2012-12-31,0.07410604731322196,0.07134926365272728,0.05008229826,0.021266965392727287,0.020128783574545468,0.5690909090909091,275,275,2750
2013-01-31,0.0728155196425729,0.01716515671146953,0.012015227644444444,0.005149929067025086,0.003952796450537631,0.5985663082437276,279,279,2793
