eom,ic_pearson,ic_spearman,best_alpha,n_nonzero,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
1997-12-31,0.0325107067160293,0.02122107141357006,0.0002285745265041186,15,593540,65,1997,1996,0.010759625351984936,-0.026942434390466157,0.0377020597424511,0.03646413581561576,0.6189619634176686,327,327,3273
1998-01-31,-0.006220188901575928,0.028275630634910037,0.0003205041309094106,8,648473,62,1998,1997,0.07869374978894349,0.07855733266151044,0.00013641712743305,-0.0020156478172075297,1.0760324723202899,326,326,3263
1998-02-28,0.014684699971865606,0.014406641879293249,0.0003205041309094106,8,648473,62,1998,1997,0.05087740760607565,0.042948065514898964,0.007929342091176683,0.007031210797490581,0.4490656468430512,328,328,3289
1998-03-31,0.02038637812954562,0.04384845787689534,0.0003205041309094106,8,648473,62,1998,1997,0.01263332608966174,0.0059629466522060515,0.006670379437455689,0.005596747934133826,0.5368157516609313,332,332,3326
1998-04-30,0.03716224128352445,0.061404226143191666,0.0003205041309094106,8,648473,62,1998,1997,-0.04113348190529082,-0.06179433950780622,0.020660857602515396,0.018736367169770996,0.9622452163721995,334,334,3344
1998-05-31,0.06519683015011014,0.09353459650594975,0.0003205041309094106,8,648473,62,1998,1997,0.018102339706139683,-0.010147087765058559,0.02824942747119824,0.02724217570204818,0.5036258845750305,331,331,3319
1998-06-30,0.0858053652036599,0.08517416355821038,0.0003205041309094106,8,648473,62,1998,1997,-0.03985165075875108,-0.09150764543398623,0.051655994675235156,0.05056130956829835,0.5473425534684038,326,326,3265
1998-07-31,0.005424044549914352,0.1870113877045998,0.0003205041309094106,8,648473,62,1998,1997,-0.16091206151490708,-0.25059474960211403,0.08968268808720695,0.0881992862992914,0.7417008939577749,321,321,3212
1998-08-31,-0.011763372019878579,-0.06434647819506159,0.0003205041309094106,8,648473,62,1998,1997,0.05973615581181972,0.1059494511919041,-0.04621329538008438,-0.047314389238736966,0.5505469293262912,304,304,3045
1998-09-30,-0.019088719516504288,-0.0066258722879544395,0.0003205041309094106,8,648473,62,1998,1997,0.06335429194284424,0.07077210014051623,-0.007417808197671988,-0.008480824461013212,0.5315081316706123,304,304,3047
1998-10-31,0.011339535658453326,0.04993965419845674,0.0003205041309094106,8,648473,62,1998,1997,0.04636286728437802,0.0244072139454626,0.021955653338915422,0.020649568826267395,0.6530422563240137,303,303,3032
1998-11-30,0.0032581705573052496,0.08198257378013382,0.0003205041309094106,8,648473,62,1998,1997,0.0632734769073045,0.038310540135276586,0.02496293677202792,0.024116330146688934,0.4233033126694926,304,304,3043
1998-12-31,0.0019688942891433426,0.0014025032074197964,0.0003205041309094106,8,648473,62,1998,1997,0.02424161148333299,0.00014905527271604196,0.02409255621061695,0.022930625094684635,0.5809655579661566,304,304,3041
1999-01-31,0.044029244106055083,0.04486875929385398,0.00038093336585946926,4,703028,57,1999,1998,-0.03443476572946971,-0.04747950242899434,0.013044736699524627,0.011726750813153518,0.6589929431855543,307,307,3079
1999-02-28,-0.040167375362954914,-0.014439707688079098,0.00038093336585946926,4,703028,57,1999,1998,0.014093504400279944,0.055111469192265825,-0.041017964791985884,-0.04170340157610909,0.3427183920616048,303,303,3037
1999-03-31,-0.048805257942614796,-0.06777001671298441,0.00038093336585946926,4,703028,57,1999,1998,0.055574909942989234,0.09753875372331991,-0.041963843780330676,-0.04278270432074033,0.4094302702048278,298,298,2987
1999-04-30,0.05426850650394646,0.05161658404240329,0.00038093336585946926,4,703028,57,1999,1998,0.0032487810916415542,-0.04441347593257888,0.04766225702422044,0.04623241098419574,0.7149230200123489,302,302,3027
1999-05-31,0.05180216307362771,0.052667545217250325,0.00038093336585946926,4,703028,57,1999,1998,0.06634766704140144,0.04873261649745208,0.017615050543949358,0.016830264947224446,0.3923927983624561,306,306,3060
1999-06-30,0.03168258220243767,0.03177527305384202,0.00038093336585946926,4,703028,57,1999,1998,-0.01699656777539256,-0.03319644001734368,0.016199872241951123,0.015371528535005424,0.41417185347284924,305,305,3056
1999-07-31,0.04672856542959545,0.03269940783395525,0.00038093336585946926,4,703028,57,1999,1998,-0.029959346730249116,-0.05858876443130172,0.028629417701052602,0.02746369071619554,0.5828634924285312,305,305,3051
1999-08-31,0.013989197459860847,0.02011279257959106,0.00038093336585946926,4,703028,57,1999,1998,-0.006477273146482058,-0.021693584687157437,0.01521631154067538,0.014242826411885826,0.4867425643947768,301,301,3012
1999-09-30,0.011587889547620375,0.02357208047748422,0.00038093336585946926,4,703028,57,1999,1998,0.02721932298712678,0.04767902288999555,-0.02045969990286877,-0.021320385109945043,0.4303426035381369,297,297,2974
1999-10-31,0.02233983458054551,0.049228716995939295,0.00038093336585946926,4,703028,57,1999,1998,0.030626469793950232,0.05601736558003757,-0.02539089578608734,-0.02656770286744078,0.5884035406767194,295,295,2954
1999-11-30,0.05081859399467025,0.09901087917088593,0.00038093336585946926,4,703028,57,1999,1998,0.11706032984366091,0.054701057442233275,0.062359272401427635,0.061392351701174984,0.48346035012632604,297,297,2972
1999-12-31,-0.03063904541592378,-0.0038915558916006936,0.00038093336585946926,4,703028,57,1999,1998,-0.059511206996568575,-0.0007782742175174448,-0.05873293277905113,-0.05959040979374623,0.4287385073475514,303,303,3037
2000-01-31,-4.3634121712798385e-05,0.032988741066539866,0.00042175536639581885,5,755893,47,2000,1999,0.05409835553296102,0.05043253339846108,0.003665822134499945,0.0022494859619571635,0.7081680862713907,305,305,3054
2000-02-29,0.10138047330714112,0.09016725837901897,0.00042175536639581885,5,755893,47,2000,1999,0.0035394140958788824,-0.054317997149151906,0.057857411245030785,0.05674836706814557,0.554522088442607,308,308,3081
2000-03-31,0.07866586162269781,0.06510843453755766,0.00042175536639581885,5,755893,47,2000,1999,-0.04669809657680281,-0.15578049546800016,0.10908239889119735,0.10786993564296955,0.6062316241139003,305,305,3056
2000-04-30,0.062374485727885697,0.041685389788636465,0.00042175536639581885,5,755893,47,2000,1999,-0.027812147444286266,-0.07445657673185016,0.04664442928756389,0.04491993276371455,0.8622482619246685,298,298,2981
2000-05-31,-0.03386638684253014,0.0035831358887433063,0.00042175536639581885,5,755893,47,2000,1999,0.058578473965352186,0.10907267163871762,-0.05049419767336543,-0.0515042314191039,0.5050168728692348,292,292,2925
2000-06-30,0.0781496045931005,0.0665469893972777,0.00042175536639581885,5,755893,47,2000,1999,-0.01650594381713174,-0.049513891744460595,0.033007947927328855,0.03186949998500199,0.5692239711634306,292,292,2929
2000-07-31,0.0005251753149298979,0.008145394137825127,0.00042175536639581885,5,755893,47,2000,1999,0.07253484671435372,0.07470701081364783,-0.002172164099294119,-0.0034973955317022273,0.6626157162040542,290,290,2901
2000-08-31,0.07551977857789763,0.05694693770612421,0.00042175536639581885,5,755893,47,2000,1999,-0.00923022412890309,-0.06180742354023369,0.0525771994113306,0.05143502210615446,0.5710886525880708,292,292,2926
2000-09-30,0.17155325280051606,0.1507380536748198,0.00042175536639581885,5,755893,47,2000,1999,0.017875117235424582,-0.12751950364800954,0.14539462088343413,0.14413381208297388,0.6304044002301212,288,288,2881
2000-10-31,0.1694480251593718,0.14415860528522167,0.00042175536639581885,5,755893,47,2000,1999,-0.05255945696427135,-0.20079641425568062,0.1482369572914093,0.1466219811827895,0.8074880543098923,281,281,2813
2000-11-30,0.05113480327507303,0.052817968060196833,0.00042175536639581885,5,755893,47,2000,1999,0.08006753866839988,0.03300804740838119,0.047059491260018696,0.04577010350346398,0.6446938782773601,268,268,2688
2000-12-31,-0.11500350863973047,-0.12471714555573679,0.00042175536639581885,5,755893,47,2000,1999,-0.005386547936052843,0.11258515831118926,-0.1179717062472421,-0.1192946673160323,0.6614805343951022,264,264,2642
2001-01-31,0.35528847134198477,0.2941987095653108,0.0005285471576671995,4,807490,43,2001,2000,-0.0025610108623394046,-0.21424557995211613,0.21168456908977673,0.2101592047265448,0.7626821816159556,274,274,2746
2001-02-28,0.2318538249343262,0.17281131759496027,0.0005285471576671995,4,807490,43,2001,2000,-0.03615221878077916,-0.19111483912223062,0.15496262034145147,0.1541592409700354,0.40168968570804187,267,267,2672
2001-03-31,-0.17526118576842328,-0.10450957232611292,0.0005285471576671995,4,807490,43,2001,2000,0.04977920334585685,0.19838135723898354,-0.1486021538931267,-0.14950522824282195,0.4515371748476179,261,261,2613
2001-04-30,0.012804200402595382,0.02915413748775293,0.0005285471576671995,4,807490,43,2001,2000,0.032229104480918105,-0.0036463635957685696,0.03587546807668668,0.0343159602698259,0.7797539034303905,263,263,2639
2001-05-31,-0.025723869367758636,-0.009608363346666642,0.0005285471576671995,4,807490,43,2001,2000,-0.009183437403193221,0.01161469900250664,-0.02079813640569986,-0.021681446677766454,0.4416551360332958,267,267,2676
2001-06-30,0.22044129051620376,0.1615547565412615,0.0005285471576671995,4,807490,43,2001,2000,-0.0032186657627105326,-0.12065659633915424,0.11743793057644371,0.11660191447030585,0.41800805306892946,266,266,2664
2001-07-31,0.19985136461061914,0.16319987441054637,0.0005285471576671995,4,807490,43,2001,2000,-0.005198809107150156,-0.11146781562037625,0.10626900651322609,0.10498252182054274,0.6432423463416714,264,264,2648
2001-08-31,0.21543067866499946,0.17671319562536708,0.0005285471576671995,4,807490,43,2001,2000,-0.08698684551365923,-0.18978530554462097,0.10279846003096174,0.1021081180427652,0.34517099409827046,261,261,2610
2001-09-30,-0.1071013970565025,-0.05895549379389399,0.0005285471576671995,4,807490,43,2001,2000,0.03612408567281844,0.08579548312849639,-0.049671397455677946,-0.05042830538976056,0.37845396704130574,250,250,2505
2001-10-31,-0.07938970691740171,-0.06661047340484316,0.0005285471576671995,4,807490,43,2001,2000,0.057197520202633106,0.10966871916417098,-0.052471198961537874,-0.05366946222165766,0.5991316300598939,252,252,2529
2001-11-30,-0.024132567525827358,-0.03804084169559316,0.0005285471576671995,4,807490,43,2001,2000,0.04313374707384148,0.030877457148046756,0.012256289925794726,0.011515726897806255,0.37028151399423503,256,256,2561
2001-12-31,0.18855487694152331,0.19773020601498684,0.0005285471576671995,4,807490,43,2001,2000,0.02292374011325153,-0.09995313373399509,0.12287687384724662,0.12218764338537458,0.34461523093602175,259,259,2593
2002-01-31,0.1931590880475945,0.1409277930115415,0.0003645502619234706,5,856545,44,2002,2001,0.012216024812112685,-0.1046153111329404,0.11683133594505309,0.11558735900893324,0.6219884680599244,259,259,2590
2002-02-28,-0.0501864933478528,-0.05702031456788266,0.0003645502619234706,5,856545,44,2002,2001,0.054676244441696234,0.07668327847420466,-0.02200703403250842,-0.02289385696389312,0.44341146569234846,254,254,2545
2002-03-31,0.17082412334113145,0.13348252570359445,0.0003645502619234706,5,856545,44,2002,2001,0.026079975708734104,-0.07479661088791362,0.10087658659664772,0.09996747104316818,0.45455777673977094,259,259,2593
2002-04-30,0.1280021282087322,0.09561651222021432,0.0003645502619234706,5,856545,44,2002,2001,-0.010918900004860841,-0.055418827479627834,0.04449992747476699,0.0428712625534406,0.8143324606631956,256,256,2567
2002-05-31,0.1647365408253278,0.13884044214535163,0.0003645502619234706,5,856545,44,2002,2001,-0.04287819349999365,-0.13062312353233452,0.08774493003234086,0.08688426504201915,0.43033249516085786,255,255,2556
2002-06-30,0.13290644685657588,0.11506434188340575,0.0003645502619234706,5,856545,44,2002,2001,-0.0927391367068003,-0.13004995859089635,0.037310821884096054,0.03663531477829607,0.3377535528999913,251,251,2512
