feature,gain,gain_norm,weight,cover
f59,1.8095949941927247,0.002610953144605551,5.765765765765766,59687.6805271458
f205,1.8066896806415331,0.0025141630675916257,5.401709401709401,56186.46283219818
f90,1.7881035240920815,0.0025464982204046432,6.45045045045045,81753.13920826954
f174,1.7794834804964497,0.0026345439061777596,7.288288288288289,43614.356755849476
f105,1.7756291597317426,0.0025906331500648357,5.683760683760683,67010.98989320413
f129,1.7706271848108015,0.002565916085232477,4.897435897435898,54930.09513418084
f72,1.7609617720302355,0.002493073943132746,4.905982905982906,46061.451529478414
f113,1.7524756491184235,0.0025586384906176336,5.731481481481482,50462.044858579284
f79,1.750430855128142,0.002414803807588235,4.936936936936936,38293.63158918501
f186,1.7485882400447486,0.0026658867146748333,6.743589743589744,45382.97409787952
f78,1.7485204663193017,0.002420632659197255,3.9912280701754383,38991.19243936371
f101,1.74349372010482,0.002561521154359313,5.728070175438596,71130.84883733382
f102,1.7410951026698998,0.002578843649706945,4.964912280701754,45954.8283447801
f55,1.740784264018393,0.002413574913694223,5.256410256410256,74207.4954922668
f201,1.7401239057381948,0.0024746507829298972,5.225,51244.82271525065
f14,1.7397363995512325,0.0024074422606195902,14.275,128108.32682495117
f88,1.7380821546937666,0.0023716691364728463,4.760683760683761,47013.23883995643
f21,1.736794748821774,0.0025089380998051538,6.576576576576576,29830.667292620685
f89,1.7334026495615642,0.00240254514807609,5.95,66444.78247795106
f99,1.7209802488995412,0.002461947947777215,5.521367521367521,54744.51795225877
f60,1.7172650628619726,0.0023759843458414486,6.666666666666667,64888.614458067794
f182,1.707814473854868,0.0024582106059101395,7.824561403508771,70779.14425284402
f43,1.703872033378534,0.0024116140615665868,4.324561403508772,40542.15650002998
f203,1.6987907917071612,0.0024177704747484923,5.794871794871795,48545.81192720853
f68,1.6966453754065332,0.002434371174131884,7.885964912280702,138257.84279030247
f41,1.695480313565996,0.0023070769345385203,11.863247863247864,87381.31141701723
f49,1.6949572385403149,0.0023516734088096843,4.578947368421052,35338.858136762654
f57,1.6786759750455873,0.002345023036434018,5.0598290598290605,51686.617761334805
f188,1.6726660830342872,0.002487612810382182,8.931623931623932,62673.569342784394
f73,1.6696986693602343,0.002387036264210849,5.0598290598290605,36962.93594177767
f87,1.6586782096797583,0.0023258013194770847,4.948717948717949,48228.39070820605
f95,1.657550187798234,0.0024091245893370296,6.693693693693693,114491.27790241413
f62,1.64338887654818,0.0023829127638348257,5.735042735042735,45111.780343601844
f103,1.6277963086071177,0.002426093196232864,5.205128205128205,51336.06150048411
f181,1.6222044594653018,0.0023586850355092216,5.081081081081081,34752.98772382306
f71,1.6203489268819493,0.00227601416047631,4.233333333333333,34473.56430317561
f15,1.6200167982427922,0.0023590106074483515,6.873873873873874,54777.39650362032
f67,1.612573140376323,0.0023925257354226247,4.972972972972973,32234.671314445703
f64,1.6034000014003955,0.0022954367416571815,5.201754385964912,73834.05193964641
f92,1.6030178169409435,0.002287696187877025,5.842592592592593,84967.78419777198
f47,1.5980717514315224,0.0022601290301928487,5.273504273504273,38811.91558055388
f81,1.5974374408395882,0.0022904939881501743,5.7094017094017095,59526.88191392687
f20,1.583945877917178,0.0022727591675393024,5.864864864864865,70210.34577048362
f70,1.5808798552633405,0.002316919711347219,4.684684684684685,72339.5212031184
f85,1.5585527934579768,0.0022178123312260383,4.162393162393163,40855.27942996555
f96,1.5562007062070005,0.0023075917205368267,5.837837837837838,54900.98011484232
f100,1.5560569859839775,0.002268589411183357,4.891891891891892,54314.27724449914
f86,1.5522972972769487,0.002222275062061479,4.4035087719298245,31344.990304110346
f69,1.5518196495170267,0.0022683451923172027,4.897435897435898,68167.7262279804
f65,1.5465861290424792,0.0022465077808048782,4.531531531531531,41553.28889149159
f93,1.5449134009516137,0.0022232315757561385,4.948717948717949,51492.34627872043
f45,1.5319096263040577,0.0022291950005373156,4.517543859649122,30025.193540472734
f94,1.4902583779515446,0.002198292835943454,4.738738738738739,28880.09036529816
