feature,category,gain_mean,gain_std,gain_norm_mean,weight_mean,cover_mean,pct_years_active,mean_rank,std_rank
eqnetis_gr3a,Other,2.0683034702583596,0.7897539677996436,0.002400706657320945,4.333333333333333,60169.16602014612,0.225,207.77777777777777,99.32620220487867
sale_bev,Other,2.066060295701027,0.5199987703242578,0.0030180201163356075,7.133333333333333,56686.27921549479,1.0,124.8,60.312094292510835
ocf_debt,Other,2.0633795721489085,1.1628176313151397,0.0032459405358645026,4.640350877192983,51359.21480145371,0.95,181.02631578947367,110.05440591696191
ap_turnover,Other,2.0575199286142984,1.1107130041242725,0.0028089341759043175,5.75,92952.74481544495,1.0,171.0,73.02194963300505
fi_at,Other,2.0487017621596655,1.1017368419594706,0.0027448174373389425,5.091666666666667,91495.06586354572,1.0,158.025,78.23026088380836
ap_days,Other,2.0418127064119305,0.6020236543202262,0.002892448067662263,7.982456140350877,65657.67170795641,0.95,131.47368421052633,59.144229044793434
ival_me,Other,2.036417741041917,0.7183801754650929,0.002955547325090246,7.222222222222222,107468.9951547476,0.975,169.74358974358975,80.4336005818719
rskew_21d,Other,2.0252940723265724,0.352047734723048,0.0025279522828990414,25.71264367816092,217604.5010775862,0.725,132.3448275862069,28.431968755093987
nix_sale,Other,2.0227283885081606,0.8774212281786797,0.002752752963466335,4.05,38237.95259602864,1.0,148.925,64.93601880668032
eqpo_me,Other,2.020907559990883,0.7310733502713006,0.0028541085448599325,8.408333333333333,57977.53375651041,1.0,160.425,71.36898971057173
cash_me,Other,2.004999272028605,0.5434207934172889,0.002738104631198255,7.95,122212.01038538615,1.0,150.5,54.217983581001455
dp_gr1a,Other,1.9964411218961078,0.7267158372305137,0.0026911596891205348,8.875,61900.9690149943,1.0,159.85,50.10939315189601
ret_24_12,Momentum,1.9888083175116895,0.47455854997822705,0.002574601123316629,15.715686274509805,119526.93897441789,0.85,177.5,48.43192660994928
ap_gr3a,Other,1.9860771852627135,0.38553240572587616,0.0022818601658287263,4.684210526315789,67548.95453844573,0.475,183.94736842105263,63.157188105208775
lnoa_gr1a,Other,1.9781169273235182,0.6904136128934542,0.002228906222893611,6.0,179064.34459629765,0.45,201.94444444444446,71.32153558293945
