eom,ic_pearson,ic_spearman,best_iteration,n_train,n_features,scoring_year,train_end_year,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2004-06-30,-0.12579576452669744,-0.15858038144367095,27,950329,44,2004,2003,-0.0835800896086205,-0.02679266923816553,-0.056787420370454963,-0.05769766744081399,0.4551235351795121,267,267,2675
2004-07-31,-0.12912541207059938,-0.17515499414375302,27,950329,44,2004,2003,-0.03118978542925748,0.03454127898855047,-0.06573106441780796,-0.06752856178661867,0.8987486844053572,263,263,2633
2004-08-31,0.08907420096633434,0.08379830052733302,27,950329,44,2004,2003,0.047861053073849774,0.030015733915531792,0.017845319158317982,0.016819425648381126,0.5129467549684281,262,262,2624
2004-09-30,0.009246986606707336,-0.0026763682069688385,27,950329,44,2004,2003,0.027271902040580574,0.025332591989044532,0.0019393100515360424,0.0010180709666393433,0.4606195424483496,263,263,2637
2004-10-31,0.07648821485232167,0.06512509094081796,27,950329,44,2004,2003,0.09552138672430746,0.053553011279079285,0.041968375445228176,0.04042853270455199,0.7699213703380917,264,264,2645
2004-11-30,0.06864639855753417,0.07691415561771402,27,950329,44,2004,2003,0.05125812642906906,0.03705083991383915,0.014207286515229907,0.013255526367811167,0.4758800737093698,269,269,2691
2004-12-31,-0.01565278921566458,0.0191562362907589,27,950329,44,2004,2003,-0.04080620883166395,-0.04165199891981003,0.0008457900881460798,-4.258480031006466e-05,0.4441874442280722,271,271,2711
2005-01-31,0.06166631108502535,0.06854246445224947,99,996130,43,2005,2004,0.036491844687658356,0.020210071330301182,0.016281773357357174,0.014074480881645455,1.1036462378558594,269,269,2693
2005-02-28,0.04172039569150141,0.018724556035786082,99,996130,43,2005,2004,-0.02096185324345333,-0.02933297703938956,0.008371123795936231,0.0074506394246954145,0.4602421856204082,270,270,2704
2005-03-31,-0.07535502067237271,-0.1016989160579947,99,996130,43,2005,2004,-0.0598192676367335,-0.020200723378476736,-0.03961854425825677,-0.04056968233040681,0.47556903607502155,269,269,2690
2005-04-30,0.07256173697153817,0.09257027553170002,99,996130,43,2005,2004,0.0600577434529513,0.04138813806374832,0.01866960538920298,0.016562030174067675,1.0537876075676533,263,263,2634
2005-05-31,0.013314555899087636,0.024058972772650088,99,996130,43,2005,2004,0.030732010740152967,0.03154620478357895,-0.0008141940434259858,-0.0017611878800842672,0.47349691832914065,264,264,2649
2005-06-30,0.01848496212024336,0.025222282212069274,99,996130,43,2005,2004,0.06841630526678007,0.05067098691546076,0.01774531835131931,0.01680817466508743,0.4685718431159389,266,266,2661
2005-07-31,0.036305747345913526,0.0259891553882159,99,996130,43,2005,2004,-0.008615539169814309,-0.003842674303132049,-0.00477286486668226,-0.006730564017651226,0.978849575484483,269,269,2692
2005-08-31,0.06453671399038473,0.08442495539783795,99,996130,43,2005,2004,0.02586618951435965,-0.004395945655364494,0.030262135169724143,0.029290481255081005,0.48582695732156866,268,268,2689
2005-09-30,0.043498030418211056,0.018903545658401112,99,996130,43,2005,2004,-0.030212637857981256,-0.026831662471669588,-0.003380975386311668,-0.004216077197589136,0.4175509056387342,268,268,2683
