eom,ic_pearson,ic_spearman,alpha,n_nonzero,n_active,n_total_cols,n_train,long_ret,short_ret,qspread,net_qspread,turnover,n_long,n_short,n_universe
2005-12-31,-0.026603239488966316,-0.052138976493547776,0.00030820169782997374,12,29,320,234508,0.06006680548196286,0.08065314893448276,-0.020586343452519903,-0.020856900481697624,0.13527851458885942,377,377,3771
2006-01-31,0.0673318566777022,0.054329727895302715,0.0005250942490275807,12,35,320,234185,0.025074405992287233,9.660010372342158e-06,0.02506474598191489,0.02461261832234042,0.22606382978723405,376,376,3761
2006-02-28,0.0769032610145832,0.06583692429276876,0.00048509086199100975,11,32,320,233765,0.0651516425256,0.034544211792800004,0.0306074307328,0.030354097399466665,0.12666666666666665,375,375,3759
2006-03-31,0.064266180154838,0.031354788503275756,0.0007802659541724116,8,29,320,233364,0.018609014761764707,0.01023000065989305,0.008379014101871658,0.008044789502941177,0.16711229946524064,374,374,3742
2006-04-30,0.06726357016121731,0.052889426923728285,0.0006380597989028313,9,32,320,232986,-0.02595834686737968,-0.053970944505080214,0.028012597637700535,0.027563399776737968,0.22459893048128343,374,374,3747
2006-05-31,0.025569133029083195,-0.007920006374416987,0.0005558333439974078,11,32,320,232595,-0.0036500108736,-0.015261828393066668,0.011611817519466668,0.011321150852800001,0.14533333333333331,375,375,3754
2006-06-30,0.04893187149614841,-0.0030783469180218096,0.0006433743689451484,10,33,320,232222,-0.01270433200080214,-0.03411366132139037,0.021409329320588227,0.021166013812566838,0.12165775401069517,374,374,3746
2006-07-31,-0.04633571055262693,-0.0803448357835877,0.0004726053617778808,14,33,320,231856,0.015291681630294908,0.03925993008016086,-0.023968248449865955,-0.024437417350670246,0.23458445040214476,373,373,3738
2006-08-31,0.09198920458003036,0.048981713878510455,0.0005921023355320239,9,30,320,231498,0.0174443509094086,-0.002375371267741935,0.019819722177150535,0.019029399596505375,0.3951612903225806,372,372,3726
2006-09-30,0.0014322952502801253,-0.011329835446263928,0.0004987705303325831,11,35,320,231153,0.04741587606236559,0.05179153031827957,-0.004375654255913984,-0.004746621997849468,0.18548387096774194,372,372,3728
2006-10-31,-0.0014795303211703377,-0.0449890126884219,0.00044849342624883186,13,34,320,230857,0.02689218284878706,0.03972891760269542,-0.012836734753908358,-0.013580670063881405,0.3719676549865229,371,371,3716
2006-11-30,0.0868126235966014,0.07711761764172217,0.0006286024689162932,13,39,320,230547,0.025938047826415095,-0.008504945515633423,0.03444299334204852,0.034138411131805935,0.1522911051212938,371,371,3713
2006-12-31,0.038055467976556616,0.02301221037096911,0.0009449806376530701,10,39,320,230250,0.042336195460704606,0.01929414313902439,0.023042052321680218,0.022738529286449864,0.15176151761517614,369,369,3699
2007-01-31,0.0667266440208485,0.08049739955569031,0.000902686634807256,11,38,320,229959,0.01642040620288859,-0.00875296910625,0.025173375309138588,0.02469511443957337,0.23913043478260865,368,368,3684
2007-02-28,0.020773137180203287,0.022760444639200225,0.0007636646539340838,11,36,320,229665,0.0061848815152588535,0.004354554715803815,0.0018303267994550388,0.001585095191825611,0.12261580381471388,367,367,3675
2007-03-31,0.040604200600009674,0.026390848814809822,0.0008323590721285974,11,34,320,229374,0.033066578804098364,0.0174142752945,0.015652303509598363,0.015395472908505467,0.12841530054644812,366,366,3661
2007-04-30,-0.012954546919480475,-0.03559654068422296,0.0007801997952027238,11,32,320,229077,0.0229393357660274,0.035013154621095895,-0.012073818855068495,-0.012720394197534249,0.3232876712328767,365,365,3650
2007-05-31,0.04794245453585227,0.05732866416136271,0.000853210361784393,9,31,320,228773,-0.004375336241208791,-0.01306007666456044,0.008684740423351649,0.008242432731043955,0.2211538461538462,364,364,3646
2007-06-30,0.010018781455166891,0.08241001443812337,0.0005275899124847054,15,31,320,228457,-0.027797522263360883,-0.056666652880344344,0.02886913061698346,0.02858813888144627,0.14049586776859502,363,363,3635
2007-07-31,0.026881917599860937,-0.19874392235838287,0.00020030083196098826,22,37,320,228133,-0.03653582458121547,0.027718281323756908,-0.06425410590497238,-0.0650800727558011,0.41298342541436467,362,362,3627
2007-08-31,-0.011235025870027997,-0.050437055408732355,0.0004044376490156468,14,31,320,227816,0.014485212514404433,0.03264461157950138,-0.01815939906509695,-0.018982113746537393,0.41135734072022156,361,361,3611
2007-09-30,0.011927297245999013,0.06109122388641362,0.00035593190049824203,15,38,320,227482,0.03861527159664804,-0.00482749037793296,0.043442761974581,0.04199583460027933,0.723463687150838,358,358,3582
2007-10-31,-0.11591935925671866,-0.24390649285263055,0.00032189599711909784,19,37,320,227131,-0.11415892238095238,-0.03259993852829132,-0.08155898385266105,-0.0823769110235294,0.40896358543417366,357,357,3571
